,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,0,1498723,40500,369772,707400,273755,1442476,1481054,881684,91402,419566,926625,652551,1607926,963932,253911,395732,639196,1098041,153098,644208,1074859,419239,1567194,977087,385429,188728,195315,79562,853350,1396852,472496,1121817,254973,175260,239701,513243,72475,1746901,173639,1490258,576032,299888,244067,532082,390840,299291,694687,1934849,1987889,167979,911175,642097,437725,840703,1038058,116317,940784,109762,168119,167238,1243527,709970,424066,383115,227482,1011431,1050132,369995,868287,256235,379133,434921,525946,156664,173954,1007880,154225,417661,141861,623798,244545,436125,540375,689902,113652,268017,790473,731485,643800,304646,639387,565350,947879,235845,2622468,101070,89744,211832,505305,64182,571683,343488,233017,84091,222552,1657266,464737,1652734,260268,1581396,154472,958852,89431,405029,252000,327487,224798,258754,154424,373429
1,1524409,0,1488006,1678246,1388937,1770922,2939643,406117,1550430,1501303,1349312,1595371,2149718,980924,2461099,1751078,1892899,1254781,2595208,1404923,916399,578012,1916406,306493,1347880,1882597,1355245,1408193,1468261,677863,211997,1169206,1728566,1752141,1672428,1736868,2010410,1529570,3244069,1617356,2987425,952617,1264481,1617509,1166235,1221270,1268369,1580150,602061,564903,1611696,1154934,1075850,1186822,2337870,1626611,1560033,1609530,1472395,1484553,1664405,327703,925813,1247164,1880282,1724649,2508598,2547299,1867162,1276507,1408616,1302621,1261686,1408132,1653831,1412490,2505047,1564126,1258855,1639539,2120965,1741713,1089537,2037542,1046122,1487093,1420398,1486622,1006281,997412,1457027,1229018,1180935,2445046,1679562,1199481,1527012,1587421,1685213,1029718,1490933,1191504,1840655,1684307,1461461,1719719,552860,1533858,3149901,1340869,3078563,1598188,1192283,1545317,1902197,1749167,1714250,1384156,1755921,1572015,1870596
2,39952,1453417,0,350247,687875,321247,1489969,1454196,862159,82489,380379,907100,700044,1581068,1011425,301403,443225,593890,1145534,113911,598902,1029553,466732,1540336,957562,432922,165030,175790,72226,808044,1351547,445974,1102292,302466,222753,287194,560736,71282,1794394,208997,1537751,530726,260701,224542,505560,338841,260104,675162,1889543,1942584,203337,884318,596791,385725,888196,1018533,151675,921259,109145,148593,214731,1198222,683113,384879,430608,274975,1058924,1097625,417488,848762,232537,359608,395734,506421,204156,134767,1055373,145312,378474,189354,671291,292038,390820,587867,644597,94126,244320,770948,686179,616942,280948,594081,520044,995372,271203,2592172,99876,137237,259325,460000,55269,532585,390981,280510,73345,270045,1611960,445212,1700227,236570,1628889,189830,939326,136924,452522,299493,307962,185611,306247,153231,420922
3,370238,1635377,351123,0,633055,467349,1611286,1544693,686879,259771,552307,731821,846146,1671565,1132743,444161,548363,867421,1266852,516292,869207,1211513,612834,1630834,902742,411827,471921,467348,441239,1078348,1533507,513330,918812,517328,278713,393610,706838,297333,1915712,535317,1659069,801031,560600,125998,572916,754390,481703,438667,2071503,2074026,529657,974815,867096,799461,1034297,963713,477994,723561,471498,457642,307867,1380182,750805,611456,576709,452014,1180242,1218943,357306,793942,554846,428860,492765,451601,285340,398977,1176691,259077,559285,352827,817393,438140,661124,733969,914901,257338,566628,534972,956484,684635,603257,864386,793575,1116690,597523,2682669,275566,447830,569917,730304,291181,732309,489924,591102,445768,476817,1793920,326787,1821545,558878,1750207,516149,884506,447517,557661,389168,43666,449821,449004,225168,380167
4,708325,1344824,689209,633649,0,969927,2138648,912923,182911,689687,549972,227852,1348724,1039795,1660104,950083,1091905,964972,1794214,613842,966758,920960,1115412,999063,278770,1081602,717379,564899,779326,777919,1242954,396370,423044,951146,871433,935874,1209416,712154,2443074,873403,2186430,898582,658151,579318,431496,851940,579254,212631,1780950,1442256,867743,343044,964647,897012,1536875,339742,816081,242010,778896,555192,863410,1089629,559599,605190,1079287,923654,1707603,1746305,842596,162171,800304,526410,484783,272709,852836,705655,1704052,752510,481952,838034,1319970,940718,758675,1236547,1012452,675477,812086,119102,1054035,490976,848715,961936,891125,1644052,935609,2050899,715395,785917,908004,827855,679316,590889,1039661,929189,783855,918724,1503368,421223,2348906,804337,2277568,854236,252736,785603,1101202,948173,669654,695279,954926,760398,875486
5,273667,1745872,320858,467062,968332,0,1235449,1741986,1142617,352335,680816,1187558,445524,1868858,756905,146945,219157,886346,891015,414348,891358,1322008,212212,1828127,1238020,208855,435878,456248,326711,1100499,1644002,733428,1382750,88963,200633,236014,306217,308329,1539875,206790,1283231,823182,561138,505000,793014,637990,560541,955620,2181998,2235039,193680,1172108,889246,684874,633676,1298991,212285,1201717,356681,429051,200283,1490677,970903,685316,176088,223794,804404,843106,366307,1129219,503385,640065,696171,786879,182036,435204,800853,415158,678911,156749,416771,34290,683275,333348,937052,374584,515167,1051406,978635,904733,551796,886536,812500,740852,188686,2869617,336923,210034,116478,752455,325114,818833,166913,103775,331240,108980,1904415,725670,1445707,507417,1374369,291549,1219784,252857,228455,248313,588419,464789,160872,299150,234521
6,1451358,2923563,1498549,1680536,2146024,1246722,0,2919677,2320308,1530026,1858507,2365249,1122816,3046549,836396,1288927,1157015,2064037,706657,1592039,2069049,2499699,1067249,3005818,2415711,1336281,1613569,1633939,1504402,2278190,2821693,1911120,2560441,1232040,1378324,1331190,1080367,1486020,358420,1440262,357592,2000873,1738830,1682691,1970705,1815681,1738232,1884933,3359689,3412730,1427152,2349799,2066938,1862565,1231115,2476682,1389976,2131990,1534372,1606742,1377974,2668368,2148594,1863007,1060089,1401486,485231,481963,1281299,2306910,1681076,1817757,1873862,1964570,1359727,1612895,697315,1592849,1856602,1334440,1227691,1228289,1860966,1343525,2114743,1552275,1692858,1981238,2156326,2082424,1729487,2064227,1990191,587344,1422158,4047308,1514614,1387725,1349950,1930146,1502805,1996524,1294340,1337247,1508931,1250961,3082107,1903361,210428,1685108,263975,1469240,2397475,1430548,1166312,1352470,1569284,1642480,1302854,1476841,1337071
7,1493035,377424,1467585,1549676,917665,1754637,2923359,0,1079159,1474397,1173454,1124100,2133434,588121,2444815,1734793,1876615,1319220,2578924,1384501,980838,642451,1900122,136094,876609,1866312,1406538,1316506,1536670,742302,194846,1015786,1257295,1735856,1656143,1720584,1994126,1496864,3227784,1658114,2971141,1017056,1276293,1495345,1012815,1285709,1215572,1108879,903748,866590,1652454,584828,1140289,1251261,2321586,1155340,1600792,1138258,1540805,1339903,1648121,392142,777716,1228672,1863998,1708365,2492314,2531015,1738844,805236,1489463,1149201,1108266,1188735,1637546,1405613,2488763,1537220,1105435,1622744,2104681,1725428,1153976,2021257,1110561,1460187,1501246,1015350,1070720,849316,1537874,1293457,1245374,2428762,1720320,1599225,1500106,1570627,1692715,1094157,1464027,1170906,1824371,1713900,1529870,1703435,617299,1337249,3133617,1493496,3062279,1638946,721011,1570314,1885912,1732883,1585680,1384438,1739637,1545109,1854312
8,883793,1506173,864678,679958,183291,1145396,2314117,1074271,0,865156,719662,56179,1524192,1201143,1835573,968970,1267373,1091092,1969682,789311,1092878,1082309,1290880,1160412,232537,936919,892847,740367,954795,939268,1404303,566060,268004,1126615,1046902,918420,1384884,887622,2618543,1048872,2361899,1024702,833620,754787,601186,978061,754723,242403,1942299,1736431,1043212,504393,1090767,1023132,1712344,279422,991550,164371,954365,730661,1038879,1250978,720948,774880,1254756,1099123,1883072,1921773,872368,323520,975773,701879,654473,448178,1028305,881124,1879521,927978,651642,1013503,1495439,1116187,884795,1412016,1138572,850946,987555,148875,1180155,660666,1024184,1088057,1017245,1819520,1111078,2204241,890864,961385,1083473,953975,854785,760578,1215129,1104658,959324,1094193,1664717,596692,2524375,979805,2453037,1029705,414085,961072,1276671,913978,715963,870748,973813,935867,905259
9,91876,1475850,109346,259588,685099,353478,1522199,1458752,859383,0,402811,904324,732275,1585624,1043655,333634,475456,616323,1177765,136344,621335,1051985,498963,1544893,954786,465153,230143,173014,162877,830476,1373979,450195,1099516,334697,254984,319425,592967,67218,1826625,256954,1569981,553159,283134,133883,509780,361273,282537,672386,1911975,1965016,251294,888874,619224,408158,920426,1015757,199632,918483,193077,145817,246961,1220654,687669,407312,462838,307206,1091154,1129856,449718,845986,313069,356832,418167,503645,236387,157200,1087604,65029,400907,221585,703521,324269,413252,620098,667029,16920,324851,768172,708612,621499,361480,616514,542477,1027603,319160,2596729,40419,169468,291555,482432,30958,555017,423212,312740,167406,302275,1634393,442436,1732457,317101,1661120,237787,936550,169154,484753,331724,217303,208044,338477,72918,453152
