,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,0,61245,3015,22808,27786,11898,62979,69086,35278,5421,16289,37049,31009,64474,40830,11272,17582,25105,49242,6398,25616,44828,18775,64381,38892,18825,7953,9078,4670,34101,56346,19357,43695,10742,9353,10459,26886,3496,77482,9376,65160,22949,12285,13874,22329,16452,12076,28625,102821,78274,10356,37270,27940,19448,45031,41417,6642,36839,8243,7163,9044,49377,29242,16935,16536,11558,42928,44847,15878,33800,10950,16571,17788,22587,7824,7243,43100,9346,16965,6943,27662,10765,16535,23184,31840,4927,11566,32733,31188,26622,14169,27922,22754,40910,13796,104585,5549,4390,10694,20124,3693,25345,14866,11672,4764,11271,90578,18183,72161,11119,68280,8008,37043,6247,18865,11278,19762,8816,12223,8653,20009
1,60894,0,60421,70525,56653,69954,121035,32340,63330,61631,54894,65101,89065,42879,98886,69328,75638,50708,107297,57784,38182,25443,76831,33881,57915,76881,54057,58558,58823,27025,9871,49376,70937,68798,67409,68515,84942,61951,135538,65551,123216,38609,53464,69698,49758,50465,51655,64519,52056,22088,66531,47979,50530,49087,103087,66824,62817,64891,60318,61509,67100,14716,39375,52071,74592,69614,100984,102902,73934,52337,56448,54999,53979,60557,65880,57236,101156,65556,53465,65176,85718,68821,44414,81240,48971,60751,57065,60681,43280,42337,59667,52044,48357,98966,69971,48399,63384,62623,68349,41705,61344,51045,72922,69644,58348,69327,48081,63808,130217,55875,126336,64183,49600,63836,76921,69334,73258,55353,70279,66578,78065
2,2863,60716,0,22287,27265,13144,64224,68233,34757,5354,15256,36528,32255,63620,42075,12518,18827,24576,50487,5366,25088,44299,20020,63528,38371,20070,7761,8557,5308,33572,55817,18541,43174,11988,10599,11704,28131,3467,78728,11443,66406,22420,11253,13353,21513,15846,11044,28105,102292,77746,12423,36417,27411,18842,46277,40896,8709,36318,8482,6642,10289,48848,28389,15903,17781,12803,44173,46092,17123,33280,10757,16050,16755,22066,9069,6211,44346,9280,15933,8188,28907,12010,16006,24430,31311,4407,11374,32213,30659,25769,13977,27393,22226,42155,15863,102441,5520,5636,11939,19596,3627,24435,16112,12917,4921,12516,90049,17662,73407,10927,69525,10076,36523,7492,20110,12524,19241,7784,13468,8624,21254
3,22944,69317,22511,0,25988,31061,78891,70651,33601,18440,25397,35372,50172,66038,56741,25979,34337,35873,65153,22205,36270,52900,37938,65945,37094,29910,26673,19892,26703,44755,64418,21520,41867,28818,22719,23513,46048,21781,93394,31408,81072,33602,24624,9200,24492,31690,20352,22369,110893,86558,32388,38835,38593,34252,64194,39619,28674,32906,30279,19741,24516,57449,31406,26893,35698,27606,58839,60758,21882,32003,30268,18725,22723,20789,22657,24513,59012,18908,24645,26287,46824,29927,27188,42347,42493,18161,30884,26478,41841,28785,33487,38575,33523,56821,35828,104858,20407,25577,31880,30778,20081,32947,31151,32858,26797,27133,98650,13981,88073,30437,84191,30041,35246,27434,35620,23993,3542,26086,26930,18431,26535
4,27720,55149,27287,25687,0,37861,88942,45719,8545,27361,23967,10316,56973,41107,66793,37235,43545,38377,75205,24708,38773,38731,44738,41014,12198,44788,29104,22396,31479,31032,50249,16574,16962,36706,35316,36422,52849,27896,103446,36185,91123,36106,27127,24726,18103,34194,22856,9734,96725,61626,37165,13903,41097,36756,70994,14723,33450,10106,33845,22245,35007,43280,21350,27126,42499,37521,68891,70810,38811,7071,32699,21228,20947,12674,33787,28141,69063,31287,20433,32906,53625,36728,29692,49147,44997,26482,33316,5896,44345,20823,35919,41079,36026,66873,40605,79927,29115,30354,36657,33281,27075,26558,40829,37635,31573,37234,84482,17043,98124,32869,94243,34817,10314,32210,44828,37241,28420,28517,38186,32309,44010
5,12042,70546,13334,31309,38115,0,54929,79416,45607,15750,26626,47378,22959,74803,32779,8309,10820,34406,41191,16735,34917,54128,10725,74710,49221,12063,17254,19407,13971,43402,65646,29686,54024,5132,10205,10412,18835,13231,69432,10286,57110,32249,22622,24203,32659,25753,22413,38955,112122,87575,10490,47600,37240,28749,36981,51746,11613,47169,17515,17492,10250,58677,39572,27272,8486,11511,34877,36796,15831,44130,20251,26900,28124,32916,8675,17580,35050,19676,27302,7193,19611,2373,25835,15134,41141,15257,20867,43063,40488,36951,23470,37222,32055,32860,8777,113886,15284,9937,6204,29425,14023,34646,8104,5776,14065,6724,99879,28512,64111,20420,60229,15067,47373,13106,12103,11231,30092,18550,9576,15849,15634
6,63862,122366,65154,78769,89936,55821,0,131236,97428,67570,78446,99198,60260,126623,42042,59043,51933,86226,42705,68555,86737,105949,48399,126530,101041,60975,69074,71227,65791,95222,117466,81506,105844,55377,62025,61163,54043,65051,18930,64811,17405,84069,74442,76023,84479,77573,74233,86547,163942,139395,65015,99420,89060,80569,63068,103566,63433,95998,69335,69312,62070,110498,91392,79092,47656,63331,23795,23282,58731,95950,72071,78720,79945,84736,60496,69401,41668,71496,79122,59013,62668,55170,77655,60371,92961,67077,72687,90657,92308,88772,75290,89042,83875,29264,63302,165706,67104,61757,60729,81245,65843,86466,57016,60301,65885,57458,151699,80332,9333,72240,12964,66887,99193,64926,53216,62075,80114,70370,60310,67669,64958
7,69693,32340,68984,70725,46174,79834,130915,0,52851,69334,58078,54622,98945,35136,108765,79208,85517,68390,117177,66346,55864,43125,86711,14907,47436,86760,66690,63564,72177,44707,22650,50456,60458,78678,77289,78395,94821,69869,145418,78157,133096,56291,62898,69764,50838,68148,60053,54040,79337,49369,79137,34296,68213,66769,112967,56344,75423,54412,73673,64217,76979,32398,43880,61238,84472,79494,110863,112782,83117,41858,70285,56079,55059,57711,75759,67220,111036,73260,54544,74878,95597,78701,62096,91120,66654,68454,70901,50202,60962,46842,73504,69726,66040,108846,82577,73957,71087,72326,78629,59387,69047,59135,82802,79607,71703,79207,65764,62081,140097,70454,136215,76790,39121,74183,86800,79214,73458,66102,80159,74281,87945
8,35806,62325,35373,33472,9121,45947,97028,52896,0,35447,31390,2845,65058,48283,74879,45498,51631,46206,83291,32794,46602,45908,52824,48190,11195,49472,37190,30481,39565,38208,57426,23997,12110,44791,43402,43032,60935,35982,111531,44270,99209,43934,35213,32812,25526,42022,30942,11822,103901,64906,45251,21080,48925,44584,79080,13139,41536,9042,41931,30331,43093,50457,28526,34549,50585,45607,76977,78895,40900,14248,40785,29314,28370,20759,41873,36227,77149,39373,27856,40992,61711,44814,37520,57233,52826,34568,41402,7984,52173,28245,44004,48907,43855,74959,48690,77723,37200,38439,44743,41110,35161,33981,48915,45720,39659,45320,91658,25129,106210,40954,102329,42903,17491,40296,52914,43512,36204,36603,46449,40395,46098
9,5778,62173,5665,18467,27460,15920,67000,68760,34952,0,16713,36723,35031,64147,44851,15294,21603,26033,53263,6823,26544,45756,22796,64054,38565,22846,9828,8751,9537,35029,57274,19030,43369,14764,13375,14480,30907,4762,81504,14243,69182,23877,12709,9533,22003,17302,12501,28299,103749,79202,15223,36944,28868,20298,49053,41090,11509,36513,13110,6836,13065,50305,28916,17360,20557,15579,46949,48868,19899,33474,13423,16244,18212,22260,11845,7668,47122,4569,17389,10964,31683,14786,17463,27206,32768,1818,14039,32407,32116,26296,16642,28850,23682,44931,18663,102967,3752,8412,14715,21052,2504,25892,18888,15693,9631,15292,91506,17857,76183,13592,72301,12875,36717,10268,22886,15300,15421,9240,16244,5591,24030
10,16496,55697,15508,25262,23912,26714,77795,57782,30785,16717,0,32556,45825,53170,55645,26088,32397,19418,64057,12870,20068,39280,33591,53077,34194,33640,13214,12760,18702,28553,50798,8090,39202,25558,24169,25275,41701,17038,92298,24960,79976,17401,9422,24784,9093,15235,6578,28987,97273,72726,25941,25966,22392,17797,59847,36719,22226,32346,20197,15734,23859,43829,17938,6164,31352,26374,57743,59662,30694,27969,16809,10033,6569,21788,22639,13745,57916,20643,5482,21758,42477,25581,10733,38000,26292,15838,17425,28136,25640,15318,20028,22374,17068,55726,29380,91990,18471,19206,25509,14576,16431,9573,29682,26487,18227,26087,85030,18545,86977,16978,83095,23593,27588,21063,33680,26094,27995,12627,27039,21665,34825
11,37566,64085,37133,35231,10880,47707,98788,54655,2830,37207,33149,0,66818,50042,76638,47258,53390,47965,85050,34554,48362,47667,54584,49950,8407,51232,38950,32241,41325,39968,59185,25757,11312,46551,45162,44792,62694,37742,113291,46030,100969,45694,36973,34571,27286,43782,32701,13582,105661,64108,47010,22839,50685,46344,80840,10351,43296,10802,43691,32090,44852,52216,30286,36309,52345,47367,78736,80655,42659,16007,42545,31074,30130,22519,43632,37987,78909,41133,29615,42751,63470,46574,39280,58993,54585,36327,43161,9744,53933,30005,45764,50667,45615,76719,50450,76924,38960,40199,46502,42870,36920,35741,50675,47480,41419,47080,93418,26888,107970,42714,104088,44663,19250,42056,54673,45271,37964,38363,48209,42154,47857
